,age,income,class,response,segment,events
0,61,86.32115229401892,0,1,1,6
1,56,211.47777191720522,2,0,1,6
2,71,219.47740974631714,2,1,2,6
3,66,114.39297190617248,0,1,1,2
4,27,37.91137408024455,0,0,0,6
5,24,37.65785522894533,0,0,0,1
6,71,87.22071180098624,0,1,1,1
7,25,222.20002908454043,1,1,2,6
8,70,194.74967550642032,1,1,2,2
9,48,90.64080224925826,0,1,1,5
10,36,198.89377826946233,1,1,2,4
11,45,162.16482680108112,1,1,2,6
12,65,130.60149119501102,0,1,1,3
13,60,109.23836420964841,0,0,0,6
14,67,86.8765725274792,0,1,1,5
15,71,233.38038731055724,2,1,2,3
16,64,109.87417594694338,0,1,1,3
17,64,204.1541530632669,2,0,1,3
18,73,133.03972801707556,0,0,0,6
19,39,118.08741989999581,0,1,1,6
20,50,194.23404190101303,2,1,2,1
21,23,81.92618803966894,0,1,1,6
22,26,173.24938810397958,0,0,0,1
23,17,103.35323171869342,0,0,0,4
24,64,216.49436539616028,2,0,1,5
25,33,241.5854755538607,1,0,1,2
26,62,249.7596857770132,2,0,1,2
27,41,117.86469514101404,0,0,0,4
28,65,136.64561918486376,0,1,1,5
29,17,142.84604605546104,0,1,1,3
30,54,76.86130414652827,1,0,1,0
31,54,126.59636966618095,1,1,2,4
32,48,235.94443693174577,1,1,2,2
33,56,167.80322085647268,2,0,1,1
34,57,173.39893060330792,2,0,1,4
35,33,196.74176189957709,1,0,1,3
36,33,36.92185331967967,0,0,0,1
37,52,193.62332718054012,2,1,2,2
38,45,180.64044200894008,1,0,1,1
39,55,195.6812248321356,2,0,1,0
40,61,103.70180045453037,0,0,0,2
41,73,217.58858952831682,2,0,1,6
42,60,159.0524961206162,1,1,2,2
43,33,48.10903374206881,0,1,1,5
44,23,122.15763085394163,0,1,1,4
45,34,34.24747502059644,0,0,0,6
46,48,158.54043665710455,1,1,2,4
47,55,364.9914037228133,2,1,2,1
48,73,225.9180465036939,2,1,2,1
49,40,53.322141608417134,0,1,1,4
50,31,116.61702064625437,0,0,0,1
51,62,107.33020572970725,0,0,0,4
52,34,97.5328832324503,0,1,1,3
53,70,145.01110998518615,0,0,0,5
54,41,149.3995487675814,0,1,1,3
55,47,159.48599185754932,1,1,2,1
56,60,74.59714740672268,0,0,0,5
57,68,251.6170588456883,2,0,1,6
58,59,71.10375132714431,0,0,0,1
59,46,99.96935453816997,0,1,1,0
60,49,185.792536001891,1,1,2,2
61,23,102.67891559283905,0,0,0,1
62,73,168.44309058688214,1,1,2,3
63,44,134.536953086736,0,1,1,1
64,37,81.33410593077741,0,1,1,1
65,56,247.14849140135834,2,0,1,1
66,39,168.53546577189624,1,1,2,5
67,20,318.28907384248873,2,0,1,5
68,30,63.70443249073314,0,1,1,3
69,59,77.89732231310344,1,0,1,2
70,27,120.03249193081595,0,1,1,3
71,40,61.99177118200005,0,0,0,5
72,59,85.5624964191652,1,1,2,2
73,33,85.68719692965168,0,0,0,5
74,59,118.86960061548267,1,1,2,6
75,40,62.5180655275046,0,1,1,4
76,39,159.8304937667859,1,1,2,1
77,49,240.90871759518677,1,1,2,4
